date,max_temp,min_temp,avg_temp
2026-06-21,36.7,21.8,29.25
2026-06-22,37.6,25.2,31.4
2026-06-23,36.7,25.2,30.950000000000003
2026-06-24,39.9,25.3,32.6
2026-06-25,40.0,27.2,33.6
2026-06-26,36.5,25.2,30.85
2026-06-27,36.4,22.1,29.25
2026-06-28,31.1,22.1,26.6
